978289549118X, , Visite tardive, Visite tardive, , 
978289512267X, , La pire journée de Papi, La pire journée de Papi, , 
978289406235X, , Je vous ai vue Marie, Je vous ai vue Marie, , 
978289295019X, Les heures, Les Heures, , , 
978289295146X, L homme rapaillé, L homme rapaillé, L homme rapaillé, , 
978289607317X, La leçon de trombone Nº 52, , La leçon de trombone, , 
978276017434X, , Max Mallette Le secret de L Inukshuk, Max Mallette le secret de l Inukshuk, , 
978289633131X, , Le cercle de Khaleb, Le cercle de Khaleb, , 
978289419343X, , Demain sera sans rêves, Demain sera sans rêves, , 
978289502103X, , La longue portée, La longue portée, , 
978289512657X, , Une girafe dans la lune, Une girafe dans la lune, , 
978289657588X, , , Les tigres bleus, , Les Tigres bleus tome 3
978155389062X, , Water wings, Water wings, , 
978292399565X, Ã ourÃ Tome 3, , Äourö v 3 La cité des sables, , 
978298096326X, , Silencieuses, Silencieuses, , 
978289714211X, Moi aussi Moi aussi, , Moi aussi Moi aussi, , 
978289052623X, , Battling Malone pugiliste, Battling Malone pugiliste, , 
978292456823X, UNE VIREE AMERICAINE, , Une virée américaine, , 
978289021588X, , Barouf au pôle Nord, Barouf au pôle Nord, , 
978289512868X, , Les douze mois de Galette, Les douze mois de Galette, , 
978289633134X, , L arc en cercle, L arc en cercle, , 
978276441726X, , , Le joueur de quilles roman, , Le Joueur de quilles
978289647511X, , , Les portes de Québec, Les Portes de Québec Tome 3 compact Le prix du sang, 
978289005843X, Des étoiles jumelles, , Des étoiles jumelles, , 
978289723294X, , , La nuit sort les dents, La Nuit sort les dents, 
978289608042X, , Le bouquet de Floup, Le bouquet de Floup, , 
978289435561X, Les dragouilles NÂ 10, , Les dragouilles, , 
978289077183X, , Jour de feu, Jour de feu, , 
978292189810X, , Le pied, Le pied, , 
978289005588X, Le vol du siècle, , Le vol du siècle, , 
978292321800X, , Que l on continue Julie, Que l on continue Julie, , 
978292177530X, , Charpente sauvage, Charpente sauvage, , 
978276440389X, , Cassandre, Cassandre, , 
978289651098X, JOUONS AVEC LEON T06, , Jouons avec Léon, , 
978289607076X, Les grandes vacances de Monsieur Bardin Nº 85, , Les grandes vacances de monsieur Bardin, , 
978289006730X, L intimité du désastre, , L intimité du désastre, , 
978292432103X, , La patience des immortels, La patience des immortels, , 
978289005788X, L Oreille rouge, L oreille rouge, L oreille rouge, , 
978292137831X, , Mariage à Hollywood, Mariage à Hollywood, , 
978289579134X, FOLLEMENT COCON NO02, , Follement cocon, , 
978289435193X, Nos mammifères marins, , Nos mammifères marins, , 
978289651100X, GRATTE CIEL EN CARAMEL, , Le gratte ciel en caramel, , 
978289261403X, , L engagé, L engagé, , 
978289607109X, Noël en juillet NÂ 96, , Noël en juillet, , 
978289018255X, , Le saut de l ange, Le saut de l ange, , 
978289568120X, La bouteille retrouvée Nº 4, , Collection Souriceau 7 8 ans, , 
978289428471X, , La valise du mort, La valise du mort, , 
978276401721X, Destinations torrides, , Destinations torrides, , 
978276440633X, , Julie et les feux follets, Julie et le feu follet, , 
978289651149X, EPISODE K T01 PRINCESSE, , K, , 
978289633354X, , L élixir du baron Von Rezine, L élixir du baron Von Rezine, , 
978289568474X, Le Cratère Tome 5, , Le cratère, , 
978289261516X, , Oslo, Oslo, , 
978292366204X, L Île aux Grues, L île aux Grues, L île aux Grues, , 
978292397593X, , , Bienvenue à Meurtreville version du 2016 03 03, , Bienvenue à Meurtreville
978289021668X, BOITE A BONHEUR, La boîte à bonheur, La boîte à bonheur, , 
978289667278X, , Les porteurs de lumière, Les 7 cristaux de Shamballa, , 
978289608105X, , Le meilleur endroit Le pire endroit, Le meilleur endroit Le pire endroit, , 
978276481056X, L Amérindienne, L Amérindienne dans l univers de la Saline, L Amérindienne, , 
978276213466X, , Allegro, Allegro, , 
978289651209X, AME UN BONBON SUR LE COE, Amé un bonbon sur le cœur, Amé un bonbon sur le coeur, , 
978276460007X, , Laura Laur, Laura Laur, , 
978298113390X, , Le jour où la terre s arrêtera de tourner tome 1, Le jour où la terre s arrêtera de tourner, , 
978289018293X, , Opéra, Opéra, , 
978292391042X, Zéline Et si c était vrai, , Zéline, , 
978289723651X, , , Zazie volume 1, Zazie Tome 1 Ça va être correct, 
978289018729X, , L homme aux sept orteils, L homme aux sept orteils, , 
978292425367X, , Pays de légendes, Pays de légendes, , 
978276440563X, , Hurler, Hurler, , 
978289660335X, Les chouchous des professeurs, , Les chouchous des professeures, , 
978289647881X, , , Au bord de la rivière, Au bord de la rivière Tome 3 Xavier, 
978298106002X, , Le fantôme du camp Lac Vert, Le fantôme du camp Lac Vert, , 
978292269178X, , Chez les oiseaux avec Om a, Chez les oiseaux avec Om a, , 
978289435368X, Les acariens NÂ 35, Les acariens, , , 
978289431310X, Saison des corbeaux Coeur de Gaël tome 2, Coeur de Gaël, Coeur de Gaël, , 
978289647843X, , , Les quatre filles du docteur March, Les Quatre filles du docteur March, 
978289396335X, , L Aube d un siècle, L aube d un siècle, , 
978289225456X, Ascension de l ame, L ascension de l âme, , , 
978289051967X, , Tempête sur la Caniapiscau, Tempête sur la Caniapiscau, , 
978289051730X, , Ladna et la bête, Ladna et la bête, , 
978289723281X, , , Mensonges sur le Plateau Mont Royal, Mensonges sur le Plateau Mont Royal Tome 1 Un mariage de raison, Mensonges sur le Plateau Mont Royal tome 1
978289579376X, SOUHAIT DE NOEL DE CABR, , Le souhait de Noël de Cabriole, , 
978276480809X, Lord John et la Confrérie de l épée, , Lord John et la confrérie de l épée, , 
978292181830X, , Nus les arbres dansent, Nus les arbres dansent, , 
978289633198X, , Meurtre à distance, Meurtre à distance, , 
978289615036X, La dragonne de l aurore NÂ 123, , La dragonne de l aurore, , 
978292389630X, FIONA, , Fiona, , 
978292181851X, , Sous le masque des heures, Sous le masque des heures, , 
978292252821X, , Contes coquins pour oreilles folichonnes, Contes coquins pour oreilles folichonnes, , 
978289583207X, , J espérais que la nuit soit douce, J espérais que la nuit soit douce, , 
978289714219X, Défense d entrer 1, , Défense d entrer, , 
978289021194X, , L incroyable Destinée, L incroyable Destinée, , 
978298082605X, , Quelle heure est il, Quelle heure est il, , 
978276093356X, , , Javotte, , Javotte
978292342550X, , Un grand père sur mesure, Un grand père sur mesure, , 
978289406113X, , Une aurore boréale, Une aurore boréale, , 
978289512565X, , Anique et Ludovix le phénix, Anique et Ludovix le phénix, , 
978289660959X, Minnie et ses amis, , Mon premier cherche et trouve, , 
978289006362X, Le Piéton immobile suivi de Passiflore, Le Piéton immobile, , , 
978289647920X, , , À la recherche du bout du monde, À la recherche du bout du monde, 
978289660807X, Le bon dinosaure, , Le bon dinosaure, , 
978289435184X, Le rêve de Tamaïna Nº 21, Le rêve de Tamaïna, Le rêve de Tamaïna, , 
978292386427X, , Dix ans d éternité, , , Dix ans d éternité
978292222586X, Retrouver Jade Nº 16, Retrouver Jade, Retrouver Jade, , 
978289021236X, , Le collectionneur, Le collectionneur, , 
978289615085X, Les visages de l humanité Nº 22, Les visages de l humanité, Les visages de l humanité, , 
978289418071X, , La mano en la velocidad, La mano en la velocidad, , 
978289660775X, Le mystère du scintillateur disparu, , Le mystère du scintillateur disparu, , 
978289021211X, , La comédienne disparue, La comédienne disparue, , 
978276460547X, , Le deuxième Noël, Le deuxième Noël, , 
978289615003X, Reine de Mémoire 4 La princesse de Vengeance NÂ 100, , Reine de Mémoire, , 
978289662180X, , Le Cercle d Éloan, Le cercle d Éloan, , 
978289261286X, , Matamore premier, Matamore premier, , 
978276093248X, , La maison étrangère, La maison étrangère, , 
978289651501X, PRIS AU JEU, , Pris au jeu, , 
978276040565X, Livres s qu importe le livre, Livres s Qu importe le livre pourvu qu on ait l ivresse, , , 
978289435564X, Malourène et les trois petits cochons NÂ 15, , Malourène et les trois petits cochons, , 
978289419346X, , La maison des pluies, La maison des pluies, , 
978289647886X, , , , Les Autochtones ne sont pas des pandas, Les autochtones ne sont pas des pandas
978289543226X, Garfield NÂ 7, , Garfield, , 
978289430606X, , Indésirables, Indésirables, , 
978298101374X, , Une poupée noire pour la nuit de Noël, Une poupée noire pour la nuit de Noël, , 
978289579727X, SANS PAUSE PUBLICITAIRE, , Sans pause publicitaire, , 
978289431182X, Memoires d outre bombe, , Mémoires d outre bombe, , 
978292391083X, Scientia Tome 1, , Scientia, , 
978289647708X, , , La nuit des cent pas, La Nuit des cent pas, 
978292426122X, , Mystère aux Appalaches, Mystère aux Appalaches, , 
978289647660X, , , Les folles années tome 3, Les Folles années Tome 3 compact Thalie et les âmes d élite, 
978289031708X, , Fragments de l instant, Fragments de l instant, , 
978289762165X, Victor et Igor Nº 3, , Victor et Igor v 3 Game on, , 
978289005624X, Instant libre l, , L instant libre, , 
978292372107X, , Le premier amour de Daniel, Le premier amour de Daniel, , 
978289295327X, Le bonheur a la queue glissante, , Le bonheur a la queue glissante, , 
978276442550X, , Comme enfant je suis cuit, Comme enfant je suis cuit, , 
978289647482X, , , Les folles années tome 2, Les Folles années Tome 2 compact Mathieu et l affaire Aurore, 
978289018599X, , Un beau matin, Parcours d Anna, , 
978289485070X, , Le champ, Le champ, , 
978276257021X, , Les secrets de Sophie, Les secrets de Sophie, , 
978292366235X, Vivre à la ville en Nouvelle France, , Vivre à la ville en Nouvelle France, , 
