id1,data_base1,title1,author1,isbn1,title_raw1,author_raw1,isbn_raw1,id2,data_base2,title2,author2,isbn2,title_raw2,author_raw2,isbn_raw2
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/184593>,Depot_legal,oeuvres completes,['renaud longchamps'],"['978289583002X', '978292189858X', '978289583164X', '978289583134X', '978292189861X', '978289583092X', '978289583058X', '978292189873X']",Oeuvres complètes,"['""Renaud"" ""Longchamps""']","['""2895830029""', '""2921898586""', '""9782895831648""', '""2895831343""', '""2921898616""', '""2895830924""', '""2895830584""', '""292189873X""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/62188>,Depot_legal,poesies completes,['charles gill'],['978289428162X'],Poésies complètes,"['""Charles"" ""Gill""']","['""2894281625""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/131220>,Depot_legal,oeuvres completes,['renaud longchamps'],"['978292189858X', '978289583134X', '978289583002X', '978289583058X', '978292189873X', '978289583092X', '978292189861X', '978289583164X']",Oeuvres complètes,"['""Renaud"" ""Longchamps""']","['""2921898586""', '""2895831343""', '""2895830029""', '""2895830584""', '""292189873X""', '""2895830924""', '""2921898616""', '""9782895831648""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/127374>,Depot_legal,oeuvres completes,['renaud longchamps'],"['978292189861X', '978289583134X', '978289583058X', '978289583092X', '978292189873X', '978289583164X', '978292189858X', '978289583002X']",Oeuvres complètes,"['""Renaud"" ""Longchamps""']","['""2921898616""', '""2895831343""', '""2895830584""', '""2895830924""', '""292189873X""', '""9782895831648""', '""2921898586""', '""2895830029""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/140982>,Depot_legal,oeuvres completes,['renaud longchamps'],"['978292189858X', '978289583002X', '978292189861X', '978289583058X', '978289583092X', '978292189873X', '978289583164X', '978289583134X']",Oeuvres complètes,"['""Renaud"" ""Longchamps""']","['""2921898586""', '""2895830029""', '""2921898616""', '""2895830584""', '""2895830924""', '""292189873X""', '""9782895831648""', '""2895831343""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/125813>,Depot_legal,oeuvres completes,['louis hemon'],"['978276013911X', '978276012523X', '978276012007X']",Oeuvres complètes,"['""Louis"" ""Hémon""']","['""2760139115""', '""2760125238""', '""2760120074""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/124895>,Depot_legal,oeuvres completes,['louis hemon'],"['978276012007X', '978276013911X', '978276012523X']",Oeuvres complètes,"['""Louis"" ""Hémon""']","['""2760120074""', '""2760139115""', '""2760125238""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/132839>,Depot_legal,oeuvres completes,['renaud longchamps'],"['978292189858X', '978289583002X', '978289583058X', '978292189861X', '978289583134X', '978289583164X', '978292189873X', '978289583092X']",Oeuvres complètes,"['""Renaud"" ""Longchamps""']","['""2921898586""', '""2895830029""', '""2895830584""', '""2921898616""', '""2895831343""', '""9782895831648""', '""292189873X""', '""2895830924""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",https://www.babelio.com/livres/Nelligan-Poesies-completes/38773,Babelio,poesies completes,['emile nelligan'],['978289406079X'], Poésies complètes ,[['Émile  Nelligan']],['9782894060797']
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/41398>,Depot_legal,poesies completes,['emile nelligan'],['978289295149X'],Poésies complètes,"['""Émile"" ""Nelligan""']","['""2892951496""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/174874>,Depot_legal,oeuvres completes,['emile nelligan'],['978289406252X'],Oeuvres complètes,"['""Émile"" ""Nelligan""']","['""2894062524""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/12123>,ILE,les habits rouges,['roquebrune robert de'],[],Les habits rouges,"['""Roquebrune, Robert de""']","['""""']",<http://banq.qc.ca/livre/52381>,Depot_legal,les ombres rouges,['albert victorin breau'],['978292133417X'],Les ombres rouges,"['""Albert Victorin"" ""Breau""']","['""2921334178""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/12123>,ILE,les habits rouges,['roquebrune robert de'],[],Les habits rouges,"['""Roquebrune, Robert de""']","['""""']",<http://banq.qc.ca/livre/146012>,Depot_legal,les sabots rouges,['danielle marcotte'],['978289021710X'],Les sabots rouges,"['""Danielle"" ""Marcotte""']","['""2890217108""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/6455>,ILE,les insolences du frere untel,['laurendeau andre'],[],Les insolences du frère Untel,"['""Laurendeau, André""']","['""""']",https://www.babelio.com/livres/Desbiens-Les-insolences-du-Frere-Untel/45346,Babelio,les insolences du frere untel,['jean-paul desbiens'],['978276190793X'], Les insolences du Frère Untel ,[['Jean-Paul  Desbiens']],['9782761907934']
<http://banq.qc.ca/livre/54638>,Depot_legal,une vie de fee,['laurent chabin'],['978289435082X'],Une vie de fée,"['""Laurent"" ""Chabin""']","['""2894350821""']",<http://recif.litterature.org/ontologie/entite/oeuvre/9756>,ILE,une vie d enfer,['laurendeau andre'],[],Une Vie d'enfer,"['""Laurendeau, André""']","['""""']"
